[15:16:33] [main/INFO]: ModLauncher running: args [--username, binbin, --version, 1.20.1, --gameDir, C:\Users\hkbin\Desktop\workdir\client\.minecraft, --assetsDir, C:\Users\hkbin\Desktop\workdir\client\.minecraft\assets, --assetIndex, 5, --uuid, 93a30eff4aa73845b616e60cbf31752b, --accessToken, ❄❄❄❄❄❄❄❄, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, msa, --versionType, HMCL 3.5.8.249, --width, 854, --height, 480, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.1, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[15:16:33] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.9 by Azul Systems, Inc.; OS Windows 10 arch amd64 version 10.0
[15:16:34] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[15:16:34] [main/INFO]: Trying GL version 4.6
[15:16:34] [main/INFO]: Requested GL version 4.6 got version 4.6
[15:16:34] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/hkbin/Desktop/workdir/client/.minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[15:16:34] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce GTX 1060 5GB/PCIe/SSE2 GL version 4.6.0 NVIDIA 555.99, NVIDIA Corporation
[15:16:36] [main/INFO]: Found mod file aeroblender-1.20.1-1.0.1-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file aether-1.20.1-1.4.2-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file aetheric_tetranomicon-1.1.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file alexscaves-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file alexscaves_torpedoes-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file alexscavestrimmed-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file alexsdelight-1.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Apotheosis-1.20.1-7.3.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ApotheoticAdditionsV2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file apotheoticcreation-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Applied-Botanics-forge-1.5.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file appliedcooking-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file AppliedFlux-1.20-1.1.8-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.4-all.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file betterp2p-1.4.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file bigger_ae2-1.20.1-1.3.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file blueprint-1.20.1-7.1.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Botania-1.20.1-444-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file celestial_artifacts-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file celestial_core-1.3.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file celestial_enchantments-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file celestial_forge-1.1.3a.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file citadel-2.5.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file cloth-config-11.1.118-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file CoffeeDelight-Forge-1.20.1-1.4-Fix.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.2.56.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file cookingforblockheads-forge-1.20.1-16.0.6.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file create-1.20.1-0.5.1.f.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file create-new-age-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file create-stuff-additions1.20.1_v2.0.4a.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file create_oppenheimered-1.20.1-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file createappliedkinetics-1.3.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file creategoggles-1.20.1-0.5.5.g-[FORGE].jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file CreativeCore_FORGE_v2.11.30_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file cullleaves-forge-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file curios-forge-5.9.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file CustomSkinLoader_ForgeActive-14.19.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file deep_aether-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file DungeonsArise-1.20.x-2.1.58-release.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file embeddium-0.3.20+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.0.16.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file EndlessBiomes 1.5.1 - 1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ends_delight-1.20.1-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file entityculling-forge-1.6.6-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ExtendedAE-1.20-1.1.10-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file forge-medievalend-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file fruitsdelight-1.0.10.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.4.6.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Glodium-1.20-1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file goety-2.5.16.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file goety_ut-6 - 1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Incendium_1.20.x_v5.3.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file irons_spellbooks-1.20.1-3.1.7.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file jei-1.20.1-forge-15.3.0.7.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file l2complements-2.4.38.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file l2hostility-2.4.26.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file l2library-2.4.27.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file L_Enders_Cataclysm-1.99.5 -1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file LibX-1.20.1-5.0.12.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file lionfishapi-1.9.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file lithosphere 1.1.1 06.06.2024.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file lost_aether_content-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file lradd-1.20.1-0.2.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Mana_Liquidizer-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file MaxHealthFix-Forge-1.20.1-12.0.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file megacells-forge-2.4.4-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file memoryleakfix-forge-1.17+-1.1.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file midnightlib-forge-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file miners_delight-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file modernfix-forge-5.18.1+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file MonstersGirls_1.3.3.3_1.20.1 [hotfix].jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file mutil-1.20.1-6.1.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file MythicBotany-1.20.1-4.0.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file NaturesCompass-1.20.1-1.11.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file netherportalfix-forge-1.20-13.0.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file nethersdelight-1.20.1-4.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file noisium-forge-2.0.3+mc1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file oceansdelight-1.0.2-1.20.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file oculus-mc1.20.1-1.7.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file packetfixer-forge-1.4.2-1.19-to-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Patchouli-1.20.1-84-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Pehkui-3.8.2+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file PineappleDelight-Forge-1.20-1.0.8-Fix2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file Placebo-1.20.1-8.6.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2-rc1+1.20.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file PuzzlesLib-v8.1.20-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file resourcefulconfig-forge-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file resourcefullib-forge-1.20.1-2.1.25.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file rubidium-extra-0.5.4.3+mc1.20.1-build.121.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file sebastrnlib-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file SoLOnion_FORGE_v1.2.7_mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file stalwart-dungeons-1.20.1-1.2.8.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file starlight-1.1.2+forge.1cda73c.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file structure_gel-1.20.1-2.16.2.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tact-1.1.6+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tacz-1.20.1-1.0.1-hotfix-release.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file TerraBlender-forge-1.20.1-3.0.1.7.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tetra-1.20.1-6.3.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tetracelium-1.20.1-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tetranichematerials-1.82-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tetranomicon-1.5.3-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file tetrasdelight-1.20.1-1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file TheOuterEnd-1.0.9.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file toolbooster-1.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file witheringboon-1.8.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YetAnotherConfigLib-3.5.0+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file youkaishomecoming-2.2.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsApi-1.20-Forge-4.0.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterDesertTemples-1.20-Forge-3.0.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterDungeons-1.20-Forge-4.0.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterEndIsland-1.20-Forge-2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterJungleTemples-1.20-Forge-2.0.5.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterMineshafts-1.20-Forge-4.0.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterStrongholds-1.20-Forge-4.0.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
[15:16:36] [main/INFO]: Found mod file YungsBetterWitchHuts-1.20-Forge-3.0.3.jar of type MOD with provider {mods folder locator at C:\Users\hkbin\Desktop\workdir\client\.minecraft\mods}
